[Ã¯π˝] ƒ¨»œ≤ª÷ÿ–¬±‡“Î£¨ π”√œ÷”– dist ∆Ù∂Ø£®»Á–Ë÷ÿ–¬±‡“Î«Î¥´ true ªÚ --rebuild£©
txxy Êï∞ÊçÆÂ±ïÁ§∫ÊúçÂä°: http://0.0.0.0:8088
Êï∞ÊçÆÂ∫ì: D:\biancheng\otherProject\txxy_test\db\posts.db  ÂÖ¨ÂºÄÂüüÂêç: http://127.0.0.1:1024
INFO:     127.0.0.1:49722 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:49725 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:49726 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58747 - "GET /downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:58747 - "GET /assets/index-DsShC17f.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64300 - "GET /assets/element-plus-Br5ArAPC.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /assets/vue-vendor-SR50vfBx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58877 - "GET /assets/index-C3p3qU2A.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:63148 - "GET /assets/element-plus-CYuu3Mnc.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63148 - "GET /api/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /assets/DownloadsView-DTmARyzm.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:64300 - "GET /assets/DownloadsView-BoUtXf0f.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64300 - "GET /api/downloads HTTP/1.1" 200 OK
INFO:     127.0.0.1:64300 - "GET /api/downloads/events HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/2b4ee1801b5f HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "POST /api/downloads/9170f6652d64/retry-url HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63152 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63178 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55228 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63190 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63191 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63192 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63193 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63194 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63195 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63196 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49836 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49837 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49838 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49839 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49840 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49841 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49842 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49843 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49845 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49846 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49847 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49848 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49849 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49852 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49853 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49854 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49855 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49856 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49857 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49858 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49859 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49860 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49862 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49863 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49864 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49891 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49892 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49893 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49896 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49898 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49905 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49917 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49929 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49930 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49931 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49932 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49835 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49944 - "GET /api/downloads/9170f6652d64 HTTP/1.1" 200 OK
