txxy 数据展示服务: http://127.0.0.1:8088
数据库: D:\biancheng\otherProject\txxy_test\db\posts.db  公开域名: https://txxy.com
INFO:     127.0.0.1:59916 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58276 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:53537 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:57883 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55720 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:52866 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:52866 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64269 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:52866 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64269 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64487 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:52866 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:64269 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:64487 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57949 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57949 - "GET /assets/PostsView-BwR1rY8G.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64487 - "GET /assets/PostsView-MPhvPipd.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:64487 - "GET /api/posts?fid=2&page=1&page_size=50&sort=date_desc HTTP/1.1" 200 OK
INFO:     127.0.0.1:57949 - "GET /api/posts/fid HTTP/1.1" 200 OK
INFO:     127.0.0.1:57949 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:64269 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:64487 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:52866 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62676 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:52875 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:50394 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62324 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:65527 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63045 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:61930 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51174 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:51174 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51174 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64562 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51174 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:64562 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61440 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /assets/PostsView-MPhvPipd.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:61440 - "GET /assets/PostsView-BwR1rY8G.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /api/posts?fid=2&page=1&page_size=50&sort=date_desc HTTP/1.1" 200 OK
INFO:     127.0.0.1:61440 - "GET /api/posts/fid HTTP/1.1" 200 OK
INFO:     127.0.0.1:61440 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:49747 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57520 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57520 - "GET /api/posts/fid HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /api/posts?fid=8&page=1&page_size=50&sort=date_desc HTTP/1.1" 200 OK
INFO:     127.0.0.1:63565 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:49747 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:57520 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61440 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61478 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:61158 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:49670 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56069 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54216 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:54216 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51469 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51469 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:54216 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:56942 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:51469 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56942 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:62709 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:54216 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:50809 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:50809 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64473 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:64473 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64405 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:50809 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50809 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:64473 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:64405 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57974 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64324 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:64324 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:56168 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:56168 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64324 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61715 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:64324 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56168 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:61715 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58713 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62888 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58871 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:51902 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51902 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:51902 - "GET /assets/index-Cy4sdwBY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58871 - "GET /assets/index-D9-IlqVi.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:62888 - "GET /assets/DashboardView-BnHCU_v2.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58871 - "GET /assets/index-E-vcS8Fx.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51902 - "GET /assets/DashboardView-Bxm6Kr1K.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58871 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:62888 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:53150 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51902 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56825 - "GET /api/stats/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:50776 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
INFO:     127.0.0.1:51637 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64817 - "GET /api/stats/recent?limit=10 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56424 - "GET /api/stats/trend?days=30 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64425 - "GET /api/stats/fid_dist HTTP/1.1" 200 OK
